created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Oct 16 21:01:03 +0000 2023;1714023672548343841;"@vieki_leonardo @FirstMediaCares mereka bilang sih dapat potongan harga kalo ada gangguan ato service offline. akan tetapi kalo anda melakukan pembayar secara otomatis via CC seperti saya. anda ngga dapat itu potongan... do u want me to send ur Receipts?  @FirstMediaCares";0;0;0;0;in;1279568019648204800;1713941021313384736;RiskyRenaldi4;https://twitter.com/RiskyRenaldi4/status/1714023672548343841
Mon Oct 16 20:59:11 +0000 2023;1714023204161994945;"@FirstMediaCares di message ga di jawab padahal customernya ada masalah sama wifinya gabisa akses ke beberapa aplikasi, aneh bener";0;0;0;0;in;1035528046357315585;1714023204161994945;tepenn_17;https://twitter.com/tepenn_17/status/1714023204161994945
Mon Oct 16 20:47:31 +0000 2023;1714020266144395604;"@FirstMediaCares kenapa internet di rumah ku di putus ?";0;0;0;0;in;198392406;1714020266144395604;yulianduce;https://twitter.com/yulianduce/status/1714020266144395604
Mon Oct 16 20:42:31 +0000 2023;1714019011175035131;"@FirstMediaCares ini memang lagi ada masalah atau gimana, buat youtube masih lancar, tapi buat lagin masuk game g bisa, buka netflix g bisa, buka disney g bisa, bahkan buka ini(X) harus pakai vpn baru bisa masuk game dan buka netflix dll.";0;0;0;0;in;1110581254624149505;1697452914955206709;bill_mitch;https://twitter.com/bill_mitch/status/1714019011175035131
Mon Oct 16 20:32:59 +0000 2023;1714016609281745339;"@FirstMediaCares kok DM nya gaada min";0;0;0;1;in;1482780967794528257;1697452914955206709;kulitkeong;https://twitter.com/kulitkeong/status/1714016609281745339
Mon Oct 16 20:21:03 +0000 2023;1714013609024708977;"Halo @FirstMediaCares sedang gangguankah? Mendadak tidak bisa connect ke steam ataupun server luar.";0;0;0;0;in;1641352371975643136;1714013609024708977;maxzerotv;https://twitter.com/maxzerotv/status/1714013609024708977
Mon Oct 16 20:15:13 +0000 2023;1714012138950500622;"@FirstMediaCares DM kenapa gaada";0;0;0;0;in;1482780967794528257;1697452914955206709;kulitkeong;https://twitter.com/kulitkeong/status/1714012138950500622
Mon Oct 16 20:11:30 +0000 2023;1714011204438655153;"@FirstMediaCares min id pelanggan Ilang gimana?";0;0;0;0;in;1482780967794528257;1697452914955206709;kulitkeong;https://twitter.com/kulitkeong/status/1714011204438655153
Mon Oct 16 19:50:08 +0000 2023;1714005828188119306;"@FirstMediaCares Min, beberapa daerah di Komp Permata Biru  Cinunuk Cileunyi Bandung udh tercover. Daerah saya Komp Permata Biru III belum tercover min tolong ekspansi lagi min coveragenya 😁";0;0;0;0;in;1625132587734929408;1697452914955206709;rhealddy2137;https://twitter.com/rhealddy2137/status/1714005828188119306
Mon Oct 16 19:44:18 +0000 2023;1714004358114013547;"@FirstMediaCares min, cek DM";0;1;0;0;in;76632776;1714004358114013547;nauvalinsight;https://twitter.com/nauvalinsight/status/1714004358114013547
Mon Oct 16 19:40:21 +0000 2023;1714003364563083454;"@FirstMediaCares ini gangguan lagi?";0;0;0;0;in;58440436;1714003364563083454;RonyMaxSteven;https://twitter.com/RonyMaxSteven/status/1714003364563083454
Mon Oct 16 19:35:25 +0000 2023;1714002124051497276;"@FirstMediaCares dah lemote lelet, perbulan tagihan naik 30rb rb kek manaaaaaaa";0;0;0;0;in;3900473533;1714002124051497276;txtdarifeli;https://twitter.com/txtdarifeli/status/1714002124051497276
Mon Oct 16 19:24:41 +0000 2023;1713999420440887525;"KEBIASAAN BGT KUMAT JAM SEGINI @FirstMediaCares";0;1;0;0;in;946077187005804544;1713999420440887525;nikiniku_u;https://twitter.com/nikiniku_u/status/1713999420440887525
Mon Oct 16 19:18:18 +0000 2023;1713997813976318223;"@FirstMediaCares Tolong dong masa sudah bayar masih terisolir";0;0;0;0;in;1678833959889952773;1697452914955206709;YtPrem70405;https://twitter.com/YtPrem70405/status/1713997813976318223
Mon Oct 16 19:12:28 +0000 2023;1713996348503278033;"@FirstMediaCares kok rto terus ya tolong dong. Ga bs buka web dll tp tulisanny connected";0;0;0;0;in;1178425206043340800;1713996348503278033;life0_is;https://twitter.com/life0_is/status/1713996348503278033
Mon Oct 16 18:51:51 +0000 2023;1713991157615870300;"@FirstMediaCares Kompensasinya apa?? Saya sebagai customer dirugikan nihh, pembayaran wajib tepat waktu ketika telat pembayaran fasilitas internet langsung dimatikan, ada gangguan jaringan hanya bisa minta maaf atas ketidaknyamanannya, customer diminta menunggu.";0;2;0;0;in;327965384;1713941021313384736;vieki_leonardo;https://twitter.com/vieki_leonardo/status/1713991157615870300
Mon Oct 16 18:38:45 +0000 2023;1713987863875043638;"@FirstMediaCares gangguan kah?";0;0;0;0;in;1432014499062579201;1713987863875043638;ryhnrkmn;https://twitter.com/ryhnrkmn/status/1713987863875043638
Mon Oct 16 18:11:52 +0000 2023;1713981099049926863;"@FirstMediaCares kemarin semalaman mati internet.. Skrg mati lagi.. Masa kumat lg mati2 mulu";0;0;0;0;in;66117278;1713981099049926863;Athsyabil;https://twitter.com/Athsyabil/status/1713981099049926863
Mon Oct 16 17:57:05 +0000 2023;1713977377511096414;"@FirstMediaCares WOY SAMPE DETIK INI INTERNET LU MATI WOY";0;0;0;0;in;245365298;1713977377511096414;rodrygohs_;https://twitter.com/rodrygohs_/status/1713977377511096414
Mon Oct 16 17:14:29 +0000 2023;1713966656194789554;"@FirstMediaCares haloo bisa tolong kirim teknisi kah? Ini kayanya modemnya rusak.. internetnya mati2 mulu.";0;0;0;0;in;35003644;1713966656194789554;erwinprsty;https://twitter.com/erwinprsty/status/1713966656194789554
Mon Oct 16 16:44:08 +0000 2023;1713959019260559700;"@hafiz_aping Selamat malam First People. Mhn maaf atas ketidakanyamanannya. Mhn infokan nomor pelanggan 8 digit terlebih dahulu ya via DM, Agar dpt kami bantu lebih lanjut ya. Tks ^Fyd";0;0;0;0;in;155787551;1713957779214614661;FirstMediaCares;https://twitter.com/FirstMediaCares/status/1713959019260559700
Mon Oct 16 16:41:38 +0000 2023;1713958389074772218;"@vieki_leonardo Hi First People. Mhn maaf atas ketidaknyamanannya. Saat ini sudah kami bantu eskalasikan kebagian technical support kami untuk dilakukan pengecekan lebih lanjut. Mohon kesediaannya untuk menunggu ya. Tks ^Fyd";0;1;0;0;in;155787551;1713941021313384736;FirstMediaCares;https://twitter.com/FirstMediaCares/status/1713958389074772218
Mon Oct 16 16:07:40 +0000 2023;1713949842056339873;"berantam @FirstMediaCares";0;0;0;0;in;946077187005804544;1713949842056339873;nikiniku_u;https://twitter.com/nikiniku_u/status/1713949842056339873
Mon Oct 16 15:56:23 +0000 2023;1713947002902647007;"@FirstMediaCares sejak sore tadi internet mati. Tolong di cek dong min.Trmksh";0;0;0;0;in;281957549;1713947002902647007;pu3_ock;https://twitter.com/pu3_ock/status/1713947002902647007
Mon Oct 16 15:48:59 +0000 2023;1713945141265002959;"@FirstMediaCares halo id 12125954 apa sedang ada gangguan? Tolong di cek. Thanks";0;0;0;0;in;72038648;1713945141265002959;rahardianmln;https://twitter.com/rahardianmln/status/1713945141265002959
Mon Oct 16 15:44:15 +0000 2023;1713943946496540679;"@FirstMediaCares jaringanku kenapa ya admin kok gabisaaa😭😭😭";0;0;0;0;in;517391888;1713943946496540679;deudio_;https://twitter.com/deudio_/status/1713943946496540679
Mon Oct 16 15:42:49 +0000 2023;1713943589661917586;"@FirstMediaCares User id : 12363497, sebulan bisa 2 kali perbaikan jaringan, baru juga berlangganan udh gangguan trs, parahhh, mengecewakan layanannya.";0;0;0;0;in;327965384;1713941021313384736;vieki_leonardo;https://twitter.com/vieki_leonardo/status/1713943589661917586
Mon Oct 16 15:41:05 +0000 2023;1713943151201919408;"@FirstMediaCares min, tlg cek dm... trims";0;0;0;0;in;1221472470756020224;1713943151201919408;mcmc898;https://twitter.com/mcmc898/status/1713943151201919408
Mon Oct 16 15:34:29 +0000 2023;1713941491343925261;"@vieki_leonardo Selamat malam First People, mhn maaf silahkan infokan 8 digit nomor pelanggan via DM agar kami bisa bantu pengecekan lebih lanjut ya. Terima kasih";0;2;0;0;in;155787551;1713941021313384736;FirstMediaCares;https://twitter.com/FirstMediaCares/status/1713941491343925261
Mon Oct 16 15:32:37 +0000 2023;1713941021313384736;"@FirstMediaCares saya dpt email perbaikan jaringan sampai 12 jam, ticket id : 10675296, lamaaa bgtttt, parahhh first media.";0;1;0;0;in;327965384;1713941021313384736;vieki_leonardo;https://twitter.com/vieki_leonardo/status/1713941021313384736
Mon Oct 16 15:28:54 +0000 2023;1713940084221944264;"@FirstMediaCares Halo saya ada kendala dengan router dan ikon wifi di hp ada tanda seru. Bagaimana penanggulanngnya min? Trims";0;0;0;0;in;1298157605622185984;1713940084221944264;luvinz20;https://twitter.com/luvinz20/status/1713940084221944264
Mon Oct 16 15:00:41 +0000 2023;1713932986398409135;"@FirstMediaCares no pelanggan 11522829 . wifi bisa terhubung tapi tidak ada internet mohon solusinya";0;0;0;0;in;1899844765;1713932986398409135;Youuuuw;https://twitter.com/Youuuuw/status/1713932986398409135
Mon Oct 16 14:59:57 +0000 2023;1713932798778863902;"@FirstMediaCares Brooo 5-12 hari???? Broooo lama amat, terus konpensasi selama itu gimana nih bro halaaaahhh .....";0;0;0;0;in;260670703;1713927333059678267;ghalisquare;https://twitter.com/ghalisquare/status/1713932798778863902
Mon Oct 16 14:52:57 +0000 2023;1713931036399472798;"@FirstMediaCares @ghalisquare Baru hari Sabtu di perbaiki ini ada masalah lagi gimana sihhh";0;0;0;0;in;1660611095063846912;1713927333059678267;ThaniaAudr45244;https://twitter.com/ThaniaAudr45244/status/1713931036399472798
Mon Oct 16 14:40:57 +0000 2023;1713928016907391457;"@ghalisquare Selamat malam First People. Mohon maaf atas ketidaknyamanannya. Saat ini sedang ada gangguan kualitas jaringan estimasi 5-12 hari, namun team kami saat ini sedang mengupayakan perbaikan secepatnya. Info update status jaringan dapat dicek di https://t.co/h46Z2Kptm7. Tks ^Apr";0;3;0;0;in;155787551;1713927333059678267;FirstMediaCares;https://twitter.com/FirstMediaCares/status/1713928016907391457
Mon Oct 16 14:39:40 +0000 2023;1713927697062334876;"Kok jaringan sering ilang-ilangan sih ? @FirstMediaCares";0;0;0;0;in;47899459;1713927697062334876;syeka40;https://twitter.com/syeka40/status/1713927697062334876
Mon Oct 16 14:38:14 +0000 2023;1713927333059678267;"@FirstMediaCares bro  id 10184682, modem keadaan ON tapi tidak ada koneksi dan tv juga off,ada gangguankah?, mulai tadi siang nih bro, ayolah .... Udah bayar nih sumpah, gak telat!!";0;2;0;0;in;260670703;1713927333059678267;ghalisquare;https://twitter.com/ghalisquare/status/1713927333059678267
Mon Oct 16 14:21:47 +0000 2023;1713923194539925884;"@FirstMediaCares min dm akunku ini dong kau tanya kenadala gabisa dm, makasih🙏🏻";0;0;0;0;in;1642490618906836992;1691996921165230418;highinfidelityx;https://twitter.com/highinfidelityx/status/1713923194539925884
Mon Oct 16 14:20:01 +0000 2023;1713922750648344781;"@FirstMediaCares KENAPA NO PEL 11133100 ADA TAGIHAN LAGI ? ADA BILLING YG BELUM TERBAYARKAN ! PADAHAL SAYA SUDAH BAYAR !!";0;0;0;0;in;1675184421434175489;1713922750648344781;El2111368276639;https://twitter.com/El2111368276639/status/1713922750648344781
Mon Oct 16 14:19:25 +0000 2023;1713922599175283125;"@FirstMediaCares 12471327 dong mati mulu, saya yg kerjanya wfh rugi gede dari bulan lalu";0;0;0;0;in;1632762773368360960;1697452914955206709;headphoniac_arr;https://twitter.com/headphoniac_arr/status/1713922599175283125
Mon Oct 16 14:17:46 +0000 2023;1713922185528783230;"Hi firstmed sayang kenapa mati lagi wifinya?  Kemaren pic nya udh nelp katanya bakalan ada kompensasi, malah mati lagi.  Udh ga kasar lho ini bahasanya @FirstMediaCares";0;0;0;0;in;1632762773368360960;1713922185528783230;headphoniac_arr;https://twitter.com/headphoniac_arr/status/1713922185528783230
Mon Oct 16 14:00:27 +0000 2023;1713917824681558127;"@FirstMediaCares halo ini knp wifi nya internet nya gabisa ya? sdh 4 harian ini gaada internet nya, trs mau pake tv nya pun jg gabisa. ini bagaimana tanggapan nya ya? sy gbisa kerjakan tgs kl gini trs";0;0;0;0;in;1630533501627027457;1713917824681558127;ririiinari;https://twitter.com/ririiinari/status/1713917824681558127
Mon Oct 16 13:49:37 +0000 2023;1713915101831745873;"halo min wifi 60606801 kok gabisa ya? mati nyala terus lemot @FirstMediaCares";0;0;0;0;in;1531913507100565504;1713915101831745873;sukawasabi;https://twitter.com/sukawasabi/status/1713915101831745873
Mon Oct 16 13:36:06 +0000 2023;1713911697935835362;"@FirstMediaCares min...ini kenapa tiba2 internet saya tiba2 tidak bisa terhubung ?";0;0;0;0;in;1376739337472122883;1713911697935835362;Effendy81080933;https://twitter.com/Effendy81080933/status/1713911697935835362
Mon Oct 16 13:34:17 +0000 2023;1713911242967101742;"CS kalian gak bisa baca ya? Bingung sama kalian musti gimana lagi @FirstMediaCares https://t.co/KWkND7rBZw";0;0;0;0;in;17059617;1713911242967101742;wilmAn_A;https://twitter.com/wilmAn_A/status/1713911242967101742
Mon Oct 16 13:28:31 +0000 2023;1713909790974616014;"@FirstMediaCares jaringan saya online tapi gak ada internet kenapa ya";0;0;0;0;in;236328492;1713909790974616014;DaryRoetine;https://twitter.com/DaryRoetine/status/1713909790974616014
Mon Oct 16 13:27:32 +0000 2023;1713909543489646936;"@FirstMediaCares @firstmediajogja min kapan acc pemasangan wifi di kos saya???";0;0;0;0;in;1577458790316015617;1713909543489646936;manusiagagal0;https://twitter.com/manusiagagal0/status/1713909543489646936
Mon Oct 16 13:14:24 +0000 2023;1713906238050996624;"@teukuriskir @FirstMediaCares Ajegila ya. Sama juga di mari. Tiap bulan kompleeeeen mulu. Konsumen https://t.co/E2vcRj7oaX";0;0;0;0;in;981799935703105536;1697452914955206709;petomato;https://twitter.com/petomato/status/1713906238050996624
Mon Oct 16 13:12:21 +0000 2023;1713905723518951456;"@IchaVarma @FirstMediaCares Giliran telat bayar langsung kena denda yak. 24 sept gangguan hampir 24 jam. 14 oktober gangguan lagi. Hari ini 16 oktober gangguan lagi. Gada penyesuaian tagihan. Janji kosong. Teknisi datang pun ga selesai. Hampir tiap hari 12 jam layanan ga bisa dipake. Konsumen rugi banyak. https://t.co/bJWvpnvFJG";0;0;0;0;in;981799935703105536;1713752772817117578;petomato;https://twitter.com/petomato/status/1713905723518951456
Mon Oct 16 13:02:45 +0000 2023;1713903307474051129;"@Andikacleosa @BiznetHome Maaf, apakah layanannya sering gangguan? Lagi mau bandingin ama sebelah @FirstMediaCares yg gangguan mulu. Tnx";0;0;0;0;in;981799935703105536;1713886258848772395;petomato;https://twitter.com/petomato/status/1713903307474051129
Mon Oct 16 13:01:37 +0000 2023;1713903021707677968;"@petomato @FirstMediaCares @petomato Baik, mimin tunggu DM kamu ya.^dmr";0;0;0;0;in;304822906;1713898926133387758;BiznetHome;https://twitter.com/BiznetHome/status/1713903021707677968
Mon Oct 16 12:55:06 +0000 2023;1713901378937212935;"@BiznetHome @FirstMediaCares Udah pernah min @BiznetHome bahkan tetangga komplek udh pada ganti ke layanan biznet. Udah fiber optik kan? Jarang gangguan rese? Info lengkap saya DM min";0;1;0;0;in;981799935703105536;1713898926133387758;petomato;https://twitter.com/petomato/status/1713901378937212935
Mon Oct 16 12:52:33 +0000 2023;1713900740161450047;"@petomato @FirstMediaCares @petomato Hi, mohon DM ke mimin alamat lengkap kamu untuk mimin cek ketersediaan jaringannya ya.^dmr";0;1;0;0;in;304822906;1713898926133387758;BiznetHome;https://twitter.com/BiznetHome/status/1713900740161450047
Mon Oct 16 12:47:25 +0000 2023;1713899447216910417;"@IchaVarma @FirstMediaCares Pelanggan lama kena dampak terus yak. Bayar full terus. Janji penyesuain tagihan kosong. Gada kompensasi. Tep cs buang pulsa masalah ga selesai. Teknisi datang jg ga kelar gangguannya masih lanjut. Buang waktu emang.";0;0;0;0;in;981799935703105536;1713752772817117578;petomato;https://twitter.com/petomato/status/1713899447216910417
