"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Sat Nov 25 02:31:26 +0000 2023","1728239943217201224","Demi apa yoasobi januari 2024 kesini  tiketnya bakal mahal ga ya  harus nonton  keep THR","0","1","0","0","in","1246008524380835840","1728239943217201224","taridayy","https://twitter.com/taridayy/status/1728239943217201224","",""
"Wed Nov 29 12:52:15 +0000 2023","1729845727965204721","Baru liat PL nya yoasobi lgsg beristigfar krn murah 🥴","0","1","0","0","in","84078189","1729845727965204721","tbfhyeol","https://twitter.com/tbfhyeol/status/1729845727965204721","",""
"Wed Nov 29 02:05:06 +0000 2023","1729682868736041271","eh gila pricelist yoasobi murah bgt coy mau tp duitnya buat bayar ukt semester depan🙃","0","0","0","0","in","1303182507110612994","1729682868736041271","qunafantasia","https://twitter.com/qunafantasia/status/1729682868736041271","",""
"Tue Nov 28 13:28:36 +0000 2023","1729492489378439590","Termasuk murah tapi jujurly saya tida mampu wkwk kapan2 yoasobi mah pasti balik lagi /copium","0","1","0","0","in","1619775511","1729492489378439590","tasohaku","https://twitter.com/tasohaku/status/1729492489378439590","",""
"Tue Nov 28 17:24:15 +0000 2023","1729551794034892912","termasuk murah untuk japanese artists selevel YOASOBI☝️😭","0","0","0","0","in","1206565368434577414","1729551794034892912","rjprdd","https://twitter.com/rjprdd/status/1729551794034892912","",""
"Tue Nov 28 13:55:57 +0000 2023","1729499372801630604","mau ngepoin post terbarunya Johnny malah disuguhi seatplan YOASOBI HSKAJDKAKSSHAK MENANGOS. mana selang 4 hari doany dari The Unity. makin menangos 😭😭😭😭 cuti seminggu bisa ga ya huhuhu murah sekali harga tiketnya huhuhuhu. https://t.co/0F4Qr1N9p5","0","1","0","0","in","1497187542201819136","1729499372801630604","illichitheart","https://twitter.com/illichitheart/status/1729499372801630604","https://pbs.twimg.com/media/GABqg5yakAEi9mn.jpg",""
"Wed Nov 29 12:56:59 +0000 2023","1729846918983962969","@nafebrinah Tetep aja gua ga kebeli tiket yoasobi yg kata orang2 itu "murah" 🙄","0","1","0","0","in","173795830","1729844585310920924","andanapratama","https://twitter.com/andanapratama/status/1729846918983962969","","purwakarta, indonesia"
"Wed Nov 29 08:43:43 +0000 2023","1729783185536376992","Yoasobi murah bgt yaa😭 jadi pingin","0","1","0","0","in","950434446427090944","1729783185536376992","mostlyk93","https://twitter.com/mostlyk93/status/1729783185536376992","",""
"Tue Nov 28 16:38:03 +0000 2023","1729540165348266129","YOASOBI MURAH BGT ANJEEERR AAAA","0","1","0","0","in","1051514658903941120","1729540165348266129","Asnodthiver","https://twitter.com/Asnodthiver/status/1729540165348266129","",""
"Wed Nov 29 05:42:01 +0000 2023","1729737456084287760","liat harga tix yoasobi murah bgt 😭","0","0","0","0","in","1131060851023130624","1729737456084287760","notsonaia","https://twitter.com/notsonaia/status/1729737456084287760","",""
"Tue Nov 28 13:38:12 +0000 2023","1729494907067482460","Murah bener tiket yoasobi 😭","0","0","0","0","in","756629491","1729494907067482460","rizkii_FR","https://twitter.com/rizkii_FR/status/1729494907067482460","",""
"Tue Nov 28 14:24:02 +0000 2023","1729506438077165874","Tiket yoasobi jkt murah dongg  kapan tiket kpop bisa kyk gitu😭","0","0","0","0","in","1498697933608603648","1729506438077165874","mingyuver","https://twitter.com/mingyuver/status/1729506438077165874","",""
"Tue Nov 28 13:40:48 +0000 2023","1729495560754016490","tiketnya yoasobi murah anj 😭😭😭😭😭😭😭😭","0","1","0","0","in","1715021651249905665","1729495560754016490","ziohgnus","https://twitter.com/ziohgnus/status/1729495560754016490","","byf read carrd"
"Wed Nov 29 08:24:55 +0000 2023","1729778453824651656","tiket yoasobi murah bet hanjir","0","0","0","0","in","1524745457234153475","1729778453824651656","fabulouseprince","https://twitter.com/fabulouseprince/status/1729778453824651656","",""
"Tue Nov 28 13:52:28 +0000 2023","1729498493751120139","Yoasobi jkt murah bgt cuy","0","0","0","0","in","1333880370853416961","1729498493751120139","dalse6no","https://twitter.com/dalse6no/status/1729498493751120139","","he/him"
"Tue Nov 28 13:07:40 +0000 2023","1729487220325876119","@JPFBASE Giliran pas yoasobi murah gini bener2 lu ya @PKEnt_ID","0","0","0","0","in","1566997764780990467","1729484037134426120","azkstnza","https://twitter.com/azkstnza/status/1729487220325876119","",""
"Wed Nov 29 00:47:59 +0000 2023","1729663462849061175","@midnitemaggi Yoasobi agi murah","0","0","0","0","in","896309199516254209","1729519960853229831","ainuchann","https://twitter.com/ainuchann/status/1729663462849061175","",""
